Country,Year,Region,GiniIndex,PctIncShareFourth20,PctIncShareHighest10,PctIncShareHighest20,PctIncShareLowest10,PctIncShareLowest20,PctIncShareSecond20,PctIncShareThird20
San Marino,..,Europe,,,,,,,,
Sao Tome and Principe,2017,Africa,56.3,16.1,49.1,61.2,1.3,3.9,7.6,11.1
Saudi Arabia,..,Middle east,,,,,,,,
Senegal,2011,Africa,40.3,21.7,31,46.9,2.3,6.1,10.4,15
Serbia,2017,Europe,36.2,23.8,25.6,41.5,1.4,5.2,12.1,17.4
Seychelles,2013,Africa,46.8,18.4,39.9,53,1.9,5.4,9.8,13.3
Sierra Leone,2018,Africa,35.7,21,29.4,44.2,3.4,7.9,11.7,15.3
Singapore,..,Asia & Pacific,,,,,,,,
Saint Martin,..,South/Latin America,,,,,,,,
Slovakia,2016,Europe,25.2,23.2,19.9,34,2.9,8.7,15.1,19
Slovenia,2017,Europe,24.2,22.5,20.4,34.4,4.1,10,14.8,18.3
Solomon Islands,2013,Asia & Pacific,37.1,21.5,29.2,44.6,2.8,7,11.4,15.5
Somalia,..,Arab States,,,,,,,,
South Africa,2014,Africa,63,16.5,50.5,68.2,0.9,2.4,4.8,8.2
South Sudan,2009,Africa,46.3,22.8,33.2,50.5,1.3,3.9,8.6,14.2
Spain,2017,Europe,34.7,23.4,25.4,41,2.1,6.2,12.2,17.2
Sri Lanka,2016,Asia & Pacific,39.8,20.3,32.9,47.5,2.9,7,10.7,14.5
Saint Kitts and Nevis,..,South/Latin America,,,,,,,,
Saint Lucia,2016,South/Latin America,51.2,20.6,38.6,55.4,0.9,3.1,7.9,13
Saint Martin,..,South/Latin America,,,,,,,,
Saint Vincent and the Grenadines,..,South/Latin America,,,,,,,,
Sudan,2014,Arab States,34.2,21.6,27.8,42.4,3.2,7.8,12.1,16.1
Suriname,1999,South/Latin America,57.6,19.9,42.7,60.2,,,6.3,12.6
Eswatini,2016,Africa,54.6,18.6,42.7,60.3,1.4,3.7,6.8,10.7
Sweden,2017,Europe,28.8,23.1,22.3,37.1,3,8.3,13.9,17.6
Switzerland,2017,Europe,32.7,22.4,25.5,40.6,3.1,7.7,12.5,16.7
Syrian Arab Republic,2004,Asia & Pacific,35.8,21.4,28.7,44,3.2,7.6,11.6,15.4
Tajikistan,2015,Asia & Pacific,34,22.4,26.4,41.7,3,7.4,12,16.4
Tanzania,2017,Africa,40.5,20.4,33.1,48.1,2.9,6.9,10.5,14.2
Thailand,2018,Asia & Pacific,36.4,22.2,28.2,44,3,7.2,11.1,15.5
Timor-Leste,2014,Asia & Pacific,28.7,21.8,24,38.4,4,9.4,13.4,16.9
Togo,2015,Africa,43.1,22.4,31.6,48.6,1.9,5,9.5,14.4
Tonga,2015,Asia & Pacific,37.6,21.2,29.7,45.4,2.8,6.8,11.4,15.2
Trinidad and Tobago,..,South/Latin America,,,,,,,,
Tunisia,2015,Arab States,32.8,22.5,25.6,40.9,3.2,7.8,12.3,16.5
Turkey,2018,Europe,41.9,21.1,32.6,48.5,2.2,5.8,10.1,14.5
Turkmenistan,1998,Asia & Pacific,40.8,21.5,31.7,47.5,2.6,6.1,10.1,14.7
Turks and Caicos Islands,..,South/Latin America,,,,,,,,
Tuvalu,2010,Asia & Pacific,39.1,21.3,30.7,46.4,2.7,6.6,10.8,15
Uganda,2016,Africa,42.8,20.4,34.2,49.8,2.5,6.1,9.8,13.8
Ukraine,2018,Europe,26.1,22.3,22,36.1,4.2,9.9,14.1,17.8
United Arab Emirates,2014,Middle east,32.5,25.5,21.4,38.2,2.3,6.2,12,18
United Kingdom,2016,Europe,34.8,22.5,26.8,42,2.8,7.1,11.9,16.4
United States,2016,North America,41.1,22.5,30.4,46.7,1.8,5.2,10.3,15.3
Uruguay,2018,South/Latin America,39.7,22.5,29.7,45.9,2.3,5.9,10.4,15.3
Uzbekistan,2003,Asia & Pacific,35.3,21.4,28.3,43.4,2.9,7.4,12,15.8
Vanuatu,2010,Asia & Pacific,37.6,21.8,29.4,44.8,2.7,6.7,11.1,15.5
Venezuela,2006,South/Latin America,46.9,22.3,34.1,50.7,0.5,3.2,9.2,14.5
Vietnam,2018,Asia & Pacific,35.7,22.3,27.5,42.9,2.5,6.7,11.9,16.3
"Virgin Islands, U.S.",..,South/Latin America,,,,,,,,
West Bank and Gaza,2016,Europe,33.7,23.2,25.2,41.1,2.9,7.3,11.9,16.6
Yemen,2014,Middle east,36.7,21.2,29.4,44.7,3,7.3,11.5,15.3
Zambia,2015,Africa,57.1,19.3,44.4,61.3,1,2.9,6,10.6
Zimbabwe,2017,Africa,44.3,20.6,34.8,51.1,2.5,6,9.1,13.2
