Country,Area,Region
Saint Pierre and Miquelon,Global North,North America
Saint Vincent and the Grenadines,Global South,South/Latin America
Samoa,Global South,Asia & Pacific
San Marino,Global North,Europe
Sao Tome and Principe,Global South,Africa
Saudi Arabia,Global South,Middle east
Senegal,Global South,Africa
Serbia,Global North,Europe
Seychelles,Global South,Africa
Sierra Leone,Global South,Africa
Singapore,Global North,Asia & Pacific
Slovakia,Global North,Europe
Slovenia,Global North,Europe
Solomon Islands,Global South,Asia & Pacific
Somalia,Global South,Arab States
South Africa,Global South,Africa
South Georgia and the South Sandwich Islands,Global South,South/Latin America
South Sudan,Global South,Africa
Spain,Global North,Europe
Sri Lanka,Global South,Asia & Pacific
Sudan,Global South,Arab States
Suriname,Global South,South/Latin America
Svalbard and Jan Mayen,Global North,Europe
Swaziland,Global South,Africa
Sweden,Global North,Europe
Switzerland,Global North,Europe
Syrian Arab Republic,Global South,Asia & Pacific
Taiwan,Global North,Asia & Pacific
Tajikistan,Global South,Asia & Pacific
Tanzania,Global South,Africa
Thailand,Global South,Asia & Pacific
Timor-Leste,Global South,Asia & Pacific
Togo,Global South,Africa
Tokelau,Global South,Asia & Pacific
Tonga,Global South,Asia & Pacific
Trinidad and Tobago,Global South,South/Latin America
Tunisia,Global South,Arab States
Turkey,Global North,Europe
Turkmenistan,Global South,Asia & Pacific
Turks and Caicos Islands,Global South,South/Latin America
Tuvalu,Global South,Asia & Pacific
Uganda,Global South,Africa
Ukraine,Global North,Europe
United Arab Emirates,Global South,Middle east
United Kingdom,Global North,Europe
United States,Global North,North America
United States Minor Outlying Islands,Global South,Asia & Pacific
Uruguay,Global South,South/Latin America
Uzbekistan,Global South,Asia & Pacific
Vanuatu,Global South,Asia & Pacific
Venezuela,Global South,South/Latin America
Vietnam,Global South,Asia & Pacific
"Virgin Islands, British",Global South,South/Latin America
"Virgin Islands, U.S.",Global South,South/Latin America
Wallis and Futuna,Global South,Asia & Pacific
West Bank and Gaza,Global North,Europe
Western Sahara,Global South,Africa
Yemen,Global South,Middle east
Zambia,Global South,Africa
Zimbabwe,Global South,Africa
